$ tracert 159.203.14.245

Tracing route to 159.203.14.245 over a maximum of 30 hops

  1     9 ms     1 ms     4 ms  mynetwork.home [192.168.2.1]
  2    14 ms    11 ms    29 ms  142.124.37.101
  3     *        *        *     Request timed out.
  4     *        *        *     Request timed out.
  5     8 ms     6 ms     5 ms  64.230.59.184
  6     8 ms     4 ms     5 ms  142.124.127.215
  7     8 ms     5 ms     7 ms  64.230.97.159
  8     8 ms     4 ms     5 ms  if-ae-9.tcore2.tnk-toronto.as6453.net [63.243.172.25]
  9     8 ms     4 ms     5 ms  if-ae-15-2.tcore1.tnk-toronto.as6453.net [64.86.33.13]
 10     4 ms     5 ms     5 ms  64.86.33.54
 11     *        *        *     Request timed out.
 12     8 ms     5 ms     4 ms  159.203.14.245

Trace complete.
